title,"author/editor",publisher,year,notes
2600 winter 2023-2024,emmanual goldstein,2600,2023,""
all the days are numbered so,"nate powell, et al",harlan records,2005,"with cd"
breezer #1,nick ferreira,nick ferreira,2023,""
challenger volume 5 issue 2,nick ferreira,challenger bmx magazine,2021,""
give me back #51,"",give me back collective,2007,"issue #1. #51 comes from HeartattaCk ending on issue #50"
give me back summer 2007,"",give me back collective,2007,"issue #2"
loft #4,"master cluster (andy jenkins, mark lewman, spike jonze)",@DearSkating,"","reissue"
roman candle #2,sam waller,world force artifacts,2024,""
schweppse,nick ferreira,nick ferreira,2016,""
tri al and error collective #13,trail and error collective,trail and error collective,2023,""
youth currency #1,adam roye,burn slow,2023,""
youth currency #3,adam roye,burn slow,2024,""
